carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Odeon Towers,"331 North Bridge Road, S(188720",188720,07:00 AM - 06:00 PM: 10 mins grace period; First hour $2.50; Subsequent 30 mins $1.25,06:00 PM - 12:00 AM: 10 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $2.50; Subsequent 30 mins $1.25,06:00 PM - 12:00 AM: 10 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $2.50; Subsequent 30 mins $1.25,06:00 PM - 12:00 AM: 10 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,
Tanjong Pagar Complex (Covered Carpark),"7 Keppel Road, S(089053",089053,07:00 AM - 07:00 PM: First 30 mins $1.35; Subsequent 10 mins $0.45,07:00 PM - 07:00 AM: $2.30 per entry,07:00 AM - 01:00 PM: First 30 mins $1.35; Subsequent 10 mins $0.45,01:00 PM - 07:00 AM: $2.30 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $2.30 per entry,,,,,,
OG Albert,"60 Albert Street, S(189969",189969,07:00 AM - 07:00 PM: $1.20 per 30 mins,07:00 PM - 10:59 PM: $1.20 per 30 mins,,,,,,,07:00 AM - 07:00 PM: $1.20 per 30 mins,07:00 PM - 10:59 PM: $1.20 per 30 mins,,,,,07:00 AM - 07:00 PM: $1.20 per 30 mins,07:00 PM - 10:59 PM: $1.20 per 30 mins,,,,,
OG People's Park,"100 Upper Cross Street, S(059108",059108,07:00 AM - 10:59 PM: $1.20 per 30 mins,,,,,,,,07:00 AM - 10:59 PM: $1.20 per 30 mins,,,,,,07:00 AM - 10:59 PM: $1.20 per 30 mins,,,,,,
Tanjong Pagar Plaza,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,,,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,,
One Fullerton - The Fullerton Heritage,"1 Fullerton Road, S(049213",049213,07:01 AM - 06:00 PM: $1.07 per 10 mins,06:01 PM - 12:00 AM: $6.00 per entry,12:01 AM - 07:00 AM: $7.00 per entry,07:01 AM - 12:00 AM: $6.00 per entry,,,,,Same as weekdays,,,,,,07:01 AM - 12:00 AM: $6.00 per entry,12:01 AM - 07:00 AM: $7.00 per entry,,,,,
Teletech Park (Basement Car Park),"20 Science Park Road, S(117674",117674,08:00 AM - 08:00 PM: 15 mins grace period; Per hour $1.20,,,,,,,,Same as weekdays,,,,,,Same as weekdays,,,,,,
Textile Centre,"200 Jalan Sultan, S(199018",199018,08:00 AM - 05:59 PM: $2.00 per hour,06:00 PM - 07:59 AM: $2.50 per entry,,,,,,,08:00 AM - 05:59 PM: $2.00 per hour,06:00 PM - 07:59 AM: $2.50 per entry,,,,,08:00 AM - 07:59 AM: $2.50 per entry,,,,,,
Haw Par Centre,"180 Clemenceau Avenue, S(239922",239922,07:00 AM - 07:00 PM: $1.40 per 30 mins,07:00 PM - 07:00 AM: $4.00 per entry,,,,,,,07:00 AM - 07:00 PM: $1.40 per 30 mins,07:00 PM - 07:00 AM: $4.00 per entry,,,,,07:00 AM - 07:00 AM: $4.00 per entry,,,,,,
One George Street,"1 George Street, S(049145",049145,06:00 PM - 07:00 AM: $3.60 per entry,07:00 AM - 01:00 PM: $2.50 per 30 mins,01:00 PM - 07:00 AM: $3.60 per entry,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.60 per entry,,,,,,
Haw Par Villa,"262 Pasir Panjang Road, S(118628",118628,"Weekdays before 5/6pm: Parking is available at ORTO (27 West Coast Highway, Singapore 117 867)","Weekdays after 5/6pm: Parking is available at ORTO (27 West Coast Highway, Singapore 117 867)",,,,,,,Saturdays: Same as weekdays,,,,,,Sundays/Public Holidays: Same as weekdays,,,,,,
The Alexcier,"237 Alexandra Road, S(159929",159929,10:01 PM - 06:00 PM: 10 mins grace period; Per hour $2.00,06:01 PM - 10:00 PM: 10 mins grace period; $3.00 per entry,10:01 PM - 06:00 PM: 10 mins grace period; Per hour $1.50,,,,,,Same as weekdays,,,,,,10:01 PM - 06:00 PM: 10 mins grace period; Per hour $1.00,06:01 PM - 10:00 PM: 10 mins grace period; Per hour $1.00,,,,,
Hb Centre 1,"12 Tannery Road, S(347722",347722,07:00 AM - 06:00 PM: First hour $1.20; Subsequent 30 mins $0.60,06:00 PM - 12:00 AM: $2.00 per entry,12:00 AM - 07:00 AM: $10.00 per entry,,,,,,Same as weekdays,,,,,,07:00 AM - 12:00 AM: Free parking,,,,,,
Health Promotion Board,"3 Second Hospital Avenue, S(168937",168937,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $3.27,,,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $3.27,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $3.27,,,,,,
One Marina Boulevard,"1 Marina Boulevard, S(018989",018989,07:00 AM - 05:00 PM: $3.24 per 30 mins,05:00 PM - 07:00 AM: $3.78 per entry,07:00 AM - 01:00 PM: $3.24 per 30 mins,01:00 PM - 07:00 AM: $3.78 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.78 per entry,,,,,,
The Atrium @ Orchard,"60 Orchard Road, S(238889",238889,12:00 AM - 05:59 PM: First hour $1.95; Subsequent 15 mins $0.55,06:00 PM - 11:59 PM: $3.25 per entry,,,,,,,03:00 AM - 05:59 PM: First 2 hours $3.25; Subsequent 15 mins $0.55,06:00 PM - 11:59 PM: $3.25 per entry,12:00 AM - 02:59 AM: $0.55 per 15 mins,,,,03:00 AM - 05:59 PM: First 2 hours $3.25; Subsequent 15 mins $0.55,06:00 PM - 11:59 PM: $3.25 per entry,12:00 AM - 02:59 AM: $0.55 per 15 mins,,,,
The Bencoolen,"180 Bencoolen Street, S(189646",189646,06:00 AM - 05:00 PM: $1.62 per 30 mins,05:00 PM - 11:00 PM: $1.62 per hour,11:00 PM - 06:00 AM: $3.25 per entry,,,,,,06:00 AM - 05:00 PM: $1.62 per 30 mins,05:00 PM - 11:00 PM: $1.62 per hour,11:00 PM - 06:00 AM: $3.25 per entry,,,,06:00 AM - 11:00 PM: $1.62 per hour,11:00 PM - 06:00 AM: $3.25 per entry,,,,,
The Cathay,"2 Handy Road, S(229233",229233,08:00 AM - 09:59 AM: $1.40 per 30 mins,10:00 AM - 05:59 PM: $1.40 per hour,06:00 PM - 07:59 AM: $3.00 per entry,,,,,,08:00 AM - 05:59 PM: $1.40 per hour,06:00 PM - 07:59 AM: $3.00 per entry,,,,,08:00 AM - 05:59 PM: $1.40 per hour,06:00 PM - 07:59 AM: $3.00 per entry,,,,,
The Centrepoint,"176 Orchard Road, S(238843",238843,06:00 AM - 05:58 AM: First hour $2.80; Subsequent 30 mins $1.20,,,,,,,,06:00 AM - 05:59 AM: First hour $3.00; Subsequent 30 mins $1.20,,,,,,06:00 AM - 05:59 AM: First hour $3.00; Subsequent 30 mins $1.20,,,,,,
Henderson Building,"221 Henderson Road, S(159557",159557,08:00 AM - 05:00 PM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,05:00 PM - 08:00 AM: $2.50 per entry,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,05:00 PM - 08:00 AM: $2.50 per entry,,,,,08:00 AM - 08:00 AM: $2.50 per entry,,,,,,
The Clift,"21 Mccallum Street, S(069047",069047,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 10:00 PM: $3.00 per entry,10:00 PM - 07:00 AM: $5.00 per entry,,,,,,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 10:00 PM: $3.00 per entry,10:00 PM - 07:00 AM: $5.00 per entry,,,,07:00 AM - 05:00 PM: $3.00 per entry,05:00 PM - 10:00 PM: $3.00 per entry,10:00 PM - 07:00 AM: $5.00 per entry,,,,
Henderson Industrial Park Blk 213 to 219,"213 Henderson Road, S(159553",159553,08:00 AM - 05:00 PM: $1.60 per hour,05:00 PM - 08:00 AM: $3.00 per entry,,,,,,,08:00 AM - 05:00 PM: $1.60 per hour,05:00 PM - 08:00 AM: $3.00 per entry,,,,,08:00 AM - 08:00 AM: $3.00 per entry,,,,,,
The Concourse,"298 Beach Road, S(199554",199554,07:00 AM - 05:00 PM: First hour $3.21; Subsequent 30 mins $1.61,05:00 PM - 07:00 AM: $4.28 per entry,07:00 AM - 12:00 PM: First hour $3.20; Subsequent 30 mins $1.50,12:00 PM - 07:00 AM: $4.28 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 12:00 PM: First hour $3.20; Subsequent 30 mins $1.50,12:00 PM - 05:00 PM: $4.28 per entry,05:00 PM - 07:00 AM: $4.00 per entry,,,,
High Street Centre,"1 North Bridge Road, S(179094",179094,07:00 AM - 05:00 PM: $2.78 per entry; Capped at $11.01,05:01 PM - 06:59 AM: $3.21 per entry,,,,,,,07:00 AM - 05:00 PM: $2.78 per entry; Capped at $11.01,05:01 PM - 06:59 AM: $3.21 per entry,,,,,07:00 AM - 07:00 AM: $3.21 per entry,,,,,,
One Raffles Place,"1 Raffles Place, S(048616",048616,07:00 AM - 05:00 PM: $3.00 per 30 mins,05:00 PM - 07:00 AM: $3.75 per entry,,,,,,,07:00 AM - 07:00 AM: $3.75 per entry,,,,,,07:00 AM - 07:00 AM: $3.75 per entry,,,,,,
Hilton Singapore Orchard,"333 Orchard Road, S(238867",238867,06:01 AM - 05:59 PM: First hour $3.80; Subsequent 30 mins $2.50,06:00 PM - 06:00 AM: $7.00 per entry,,,,,,,06:01 AM - 05:59 PM: First hour $3.80; Subsequent 30 mins $2.50,06:00 PM - 06:00 AM: $7.00 per entry,,,,,06:01 AM - 05:59 PM: First hour $3.80; Subsequent 30 mins $2.50,06:00 PM - 06:00 AM: $7.00 per entry,,,,,
One Raffles Quay,1 Raffles Quay S(048583,048583,06:00 AM - 06:00 PM: $1.18 per 10 mins,06:00 PM - 06:00 AM: First 4 hours $3.21; Subsequent 10 mins $0.30,,,,,,,06:00 AM - 06:00 AM: First 4 hours $3.21; Subsequent 10 mins $0.30,,,,,,06:00 AM - 06:00 AM: First 4 hours $3.21; Subsequent 10 mins $0.30,,,,,,
One Shenton,"1 Shenton Way, S(068803",068803,07:00 AM - 06:59 PM: First hour $4.86; Subsequent min $0.09,07:00 PM - 06:59 AM: $3.24 per entry,,,,,,,07:00 AM - 06:59 AM: $3.24 per entry,,,,,,07:00 AM - 06:59 AM: $3.24 per entry,,,,,,
Holiday Inn Express Singapore Orchard Road,"20 Bideford Road, S(229921",229921,07:00 AM - 07:00 AM: $3.00 per 30 mins,,,,,,,,07:00 AM - 07:00 AM: $3.00 per 30 mins,,,,,,07:00 AM - 07:00 AM: $3.00 per 30 mins,,,,,,
Holiday Inn Singapore Atrium,"317 Outram Road, S(169075",169075,07:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.00,,,,,,,,07:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.00,,,,,,07:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.00,,,,,,
Holiday Inn Singapore Orchard City Centre,"11 Cavenagh Road, S(229616",229616,12:00 AM - 02:59 PM: $4.00 per hour; Capped at $13.90,03:00 PM - 11:59 PM: $1.80 per hour; Capped at $13.90,,,,,,,12:00 AM - 02:59 PM: $4.00 per hour; Capped at $5.90,03:00 PM - 11:59 PM: $1.80 per hour; Capped at $5.90,,,,,12:00 AM - 02:59 PM: $4.00 per hour; Capped at $5.90,03:00 PM - 11:59 PM: $1.80 per hour; Capped at $5.90,,,,,
Orchard Building,"1 Grange Road, S(239693",239693,06:30 AM - 06:00 PM: $1.40 per 30 mins,06:00 PM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 06:30 AM: $0.90 per 30 mins; Capped at $7.20,,,,,,06:30 AM - 06:00 PM: $1.40 per 30 mins,06:00 PM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 06:30 AM: $0.90 per 30 mins; Capped at $7.20,,,,06:30 AM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 06:30 AM: $0.90 per 30 mins; Capped at $7.20,,,,,
Orchard Central,"181 Orchard Road, S(238896",238896,12:00 AM - 05:59 PM: 10 mins grace period; First hour $2.73; Subsequent 15 mins $0.68,06:00 PM - 12:00 AM: 10 mins grace period; $4.09 per entry,,,,,,,12:00 AM - 05:59 PM: 10 mins grace period; First hour $2.94; Subsequent 15 mins $0.74,06:00 PM - 11:59 PM: 10 mins grace period; $4.41 per entry,,,,,12:00 AM - 05:59 PM: 10 mins grace period; First hour $2.94; Subsequent 15 mins $0.74,06:00 PM - 11:59 PM: 10 mins grace period; $4.41 per entry,,,,,
Orchard Credit Building,"1 Chang Charn Road, S(159630",159630,07:00 AM - 06:59 PM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 06:59 AM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,,,,,,,07:00 AM - 06:59 PM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 06:59 AM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,,,,,07:00 AM - 06:59 PM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 06:59 AM: 10 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,,,,,
Hong Leong Building,"16 Raffles Quay, S(048581",048581,07:00 AM - 05:59 PM: 10 mins grace period; Per 30 mins $3.00,06:00 PM - 06:59 AM: 10 mins grace period; Per hour $2.00,07:00 AM - 12:59 PM: 10 mins grace period; Per 30 mins $3.00,01:00 PM - 06:59 AM: 10 mins grace period; Per hour $2.00,,,,,Same as weekdays,,,,,,07:00 AM - 06:59 AM: 10 mins grace period; Per hour $2.00,,,,,,
Orchard Gateway,"277 Orchard Road, S(238858",238858,12:00 AM - 05:59 PM: First hour $2.40; Subsequent 30 mins $1.53,06:00 PM - 11:59 PM: First hour $2.51; Subsequent 30 mins $1.64,,,,,,,12:00 AM - 12:00 AM: First hour $2.51; Subsequent 30 mins $1.64,,,,,,12:00 AM - 12:00 AM: First hour $2.51; Subsequent 30 mins $1.64,,,,,,
Hong Lim Complex,531 Upper Cross Street S(050531,050531,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,,,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,
The Gateway @ 150 Beach Road,"150 Beach Road, S(189720",189720,07:00 AM - 06:00 PM: First hour $2.80; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $3.05 per entry,07:00 AM - 01:00 PM: First hour $2.80; Subsequent 30 mins $1.50,01:00 PM - 07:00 AM: $3.05 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.05 per entry,,,,,,
The Heeren,"260 Orchard Road, S(238855",238855,03:00 AM - 04:59 PM: First hour $4.00; Subsequent 30 mins $2.00,05:00 PM - 02:59 AM: $4.50 per entry,,,,,,,12:00 AM - 12:00 AM: First 2 hours $6.00; Subsequent 30 mins $2.00,,,,,,12:00 AM - 12:00 AM: First 2 hours $6.00; Subsequent 30 mins $2.00,,,,,,
The Herencia,"46 Kim Yam Road, S(239351",239351,07:00 AM - 05:00 PM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,05:00 PM - 07:00 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,,,07:00 AM - 05:00 PM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,05:00 PM - 07:00 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,07:00 AM - 05:00 PM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,05:00 PM - 07:00 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,
The Lawn @ Marina Bay,"12 Marina Boulevard, S(018982",018982,06:00 AM - 06:00 PM: $0.80 per 10 mins,06:00 PM - 06:00 AM: First 4 hours $3.00; Subsequent 10 mins $0.25,,,,,,,06:00 AM - 06:00 AM: First 4 hours $3.00; Subsequent 10 mins $0.25,,,,,,06:00 AM - 06:00 AM: First 4 hours $3.00; Subsequent 10 mins $0.25,,,,,,
Orchard Grand Court,"131 Killiney Road, S(239571",239571,07:00 AM - 05:59 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 06:59 AM: $4.00 per entry,,,,,,,07:00 AM - 05:59 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 06:59 AM: $4.00 per entry,,,,,07:00 AM - 07:00 AM: $4.00 per entry,,,,,,
HortPark,"33 Hyderabad Road, S(119578",119578,06:00 AM - 06:00 AM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 10:00 PM: Capped at $5.00,,,,,,,06:00 AM - 06:00 AM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 10:00 PM: Capped at $5.00,,,,,06:00 AM - 06:00 AM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 10:00 PM: Capped at $5.00,,,,,
The Luxe,"6 Handy Road, S(229234",229234,07:00 AM - 07:00 AM: $1.50 per hour; Capped at $12.00,,,,,,,,07:00 AM - 07:00 AM: $1.50 per hour; Capped at $12.00,,,,,,07:00 AM - 07:00 AM: $1.50 per hour; Capped at $12.00,,,,,,
Orchard Hotel Singapore,"442 Orchard Road, S(238879",238879,07:00 AM - 06:00 PM: First hour $3.50; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.50 per entry,,,,,,,07:00 AM - 06:00 PM: First hour $3.50; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.50 per entry,,,,,07:00 AM - 07:00 AM: $5.50 per entry,,,,,,
Orchard Plaza,"150 Orchard Road, S(238841",238841,07:00 AM - 05:00 PM: 10 mins grace period; Per 30 mins $1.65,05:00 PM - 07:00 AM: 10 mins grace period; First 3 hours $4.57; Subsequent 30 mins $1.65,,,,,,,07:00 AM - 05:00 PM: 10 mins grace period; Per 30 mins $1.65,05:00 PM - 07:00 AM: 10 mins grace period; First 3 hours $4.57; Subsequent 30 mins $1.65,,,,,07:00 AM - 05:00 PM: 10 mins grace period; Per 30 mins $1.65,05:00 PM - 07:00 AM: 10 mins grace period; First 3 hours $4.57; Subsequent 30 mins $1.65,,,,,
The Mint Museum of Toys,"26 Seah Street, S(188382",188382,07:00 AM - 10:00 AM: $1.20 per 30 mins,10:00 AM - 10:30 PM: $1.40 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,,,07:00 AM - 10:00 AM: $1.20 per 30 mins,10:00 AM - 10:30 PM: $1.40 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,07:00 AM - 10:00 AM: $0.60 per 30 mins,10:00 AM - 10:30 PM: $1.40 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins,,,,
Hotel Boss,"500 Jalan Sultan, S(199020",199020,07:00 AM - 07:00 AM: $1.00 per 30 mins,,,,,,,,07:00 AM - 07:00 AM: $1.00 per 30 mins,,,,,,07:00 AM - 07:00 AM: $1.00 per 30 mins,,,,,,
Hotel Fort Canning (Entrance 1),12 Tai Seng Link #06-02 Singapore 534233,534233,06:00 AM - 06:00 PM: $1.07 per 30 mins,06:00 PM - 06:00 AM: $3.21 per entry,,,,,,,06:00 AM - 06:00 PM: $1.07 per 30 mins,06:00 PM - 06:00 AM: $3.21 per entry,,,,,06:00 AM - 06:00 PM: $1.07 per 30 mins,06:00 PM - 06:00 AM: $3.21 per entry,,,,,
Hotel G Singapore,"200 Middle Road, S(188980",188980,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,,,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,,,,,,
Hotel Grand Pacific,"101 Victoria Street, S(188018",188018,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 07:00 AM: $4.00 per entry,,,,,,,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 07:00 AM: $4.00 per entry,,,,,07:00 AM - 07:00 AM: $4.00 per entry,,,,,,
Hotel Jen at Tanglin,"1A Cuscaden Road, S(249716",249716,07:00 AM - 05:00 PM: First hour $2.40; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: $3.50 per entry,07:00 AM - 07:00 AM: First hour $2.40; Subsequent 30 mins $1.20,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.50 per entry,,,,,,
Orchard Point,"160 Orchard Road, S(238842",238842,06:00 AM - 10:59 PM: 10 mins grace period; First hour $2.40; Subsequent 30 mins $1.20,11:00 PM - 05:59 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,,,06:00 AM - 10:59 PM: 10 mins grace period; First hour $2.40; Subsequent 30 mins $1.20,11:00 PM - 05:59 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,06:00 AM - 10:59 PM: 10 mins grace period; First hour $2.40; Subsequent 30 mins $1.20,11:00 PM - 05:59 AM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,,,,,
The National Museum of Singapore,"93 Stamford Road, S(178897",178897,07:00 AM - 06:00 PM: $2.50 per hour,06:00 PM - 03:00 AM: $4.00 per entry,03:00 AM - 07:00 AM: $4.00 per entry,,,,,,07:00 AM - 06:00 PM: $2.50 per hour,06:00 PM - 03:00 AM: $4.00 per entry,03:00 AM - 07:00 AM: $4.00 per entry,,,,07:00 AM - 06:00 PM: $2.50 per hour,06:00 PM - 03:00 AM: $4.00 per entry,03:00 AM - 07:00 AM: $4.00 per entry,,,,
The Pier at Robertson,"80 Mohamed Sultan Road, S(239013",239013,08:00 AM - 06:00 PM: First hour $1.20; Subsequent 30 mins $0.60,06:00 PM - 08:00 AM: $4.00 per entry,08:00 AM - 01:00 PM: First hour $1.20; Subsequent 30 mins $0.60,01:00 PM - 08:00 AM: $4.00 per entry,,,,,Same as weekdays,,,,,,08:00 AM - 08:00 AM: $4.00 per entry,,,,,,
Orchard Rendezvous Hotel,"1 Tanglin Road, S(247905",247905,07:00 AM - 06:00 PM: First hour $5.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.00 per entry,,,,,,,07:00 AM - 06:00 PM: First hour $5.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.00 per entry,,,,,07:00 AM - 06:00 PM: First hour $5.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.00 per entry,,,,,
The Pinnacle @ Duxton,"1 Cantonment Road, S(080001",080001,07:00 AM - 05:00 PM: $1.40 per 30 mins,05:00 PM - 10:30 PM: $0.60 per 30 mins,,,,,,,07:00 AM - 05:00 PM: $1.40 per 30 mins,05:00 PM - 10:30 PM: $0.60 per 30 mins,,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,,,,,,
Orchard Towers,"400 Orchard Road, S(238875",238875,07:00 AM - 07:00 AM: First hour $4.00; Subsequent 30 mins $2.00; Capped at $16.00,,,,,,,,07:00 AM - 07:00 AM: First hour $4.00; Subsequent 30 mins $2.00; Capped at $16.00,,,,,,07:00 AM - 07:00 AM: First hour $4.00; Subsequent 30 mins $2.00; Capped at $16.00,,,,,,
Orchid Hotel,"1 Tras Link, S(078867",078867,12:00 AM - 06:00 PM: First 30 mins $2.00; Subsequent 30 mins $2.00,06:00 PM - 12:00 AM: $3.00 per entry,,,,,,,12:00 AM - 06:00 PM: First 30 mins $2.00; Subsequent 30 mins $2.00,06:00 PM - 12:00 AM: $3.00 per entry,,,,,12:00 AM - 12:00 AM: $3.00 per entry,,,,,,
The Plaza,"7500 Beach Road, S(199590",199590,07:00 AM - 04:59 PM: First hour $2.50; Subsequent 30 mins $1.50,05:00 PM - 06:59 AM: $2.50 per entry,07:00 AM - 12:59 PM: First hour $2.50; Subsequent 30 mins $1.50,01:00 PM - 07:00 AM: $2.50 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $2.50 per entry,,,,,,
The Quayside,"60 Robertson Quay, S(238252",238252,07:00 AM - 06:00 PM: First hour $3.50; Subsequent hour $2.00,06:00 PM - 10:00 PM: $5.00 per entry,10:00 PM - 07:00 AM: $2.00 per 30 mins,,,,,,07:00 AM - 06:00 PM: First hour $3.50; Subsequent hour $2.00,06:00 PM - 10:00 PM: $5.00 per entry,10:00 PM - 07:00 AM: $2.00 per 30 mins,,,,07:00 AM - 06:00 PM: First hour $3.50; Subsequent hour $2.00,06:00 PM - 10:00 PM: $5.00 per entry,10:00 PM - 07:00 AM: $2.00 per 30 mins,,,,
Hotel Michael,"8 Sentosa Gateway, S(098269",098269,12:00 AM - 11:59 PM: $6.00 per entry,12:00 AM - 11:59 PM: $9.00 per entry,,,,,,,Same as weekdays,,,,,,12:00 AM - 11:59 PM: $9.00 per entry,,,,,,
Oriental Plaza,"291 New Bridge Road, S(088756",088756,08:00 AM - 04:59 PM: 10 mins grace period; First hour $2.30; Subsequent 30 mins $1.50,05:00 PM - 07:59 AM: 10 mins grace period; $2.50 per entry,,,,,,,08:00 AM - 04:59 PM: 10 mins grace period; First hour $2.30; Subsequent 30 mins $1.50,05:00 PM - 07:59 AM: 10 mins grace period; $2.50 per entry,,,,,08:00 AM - 04:59 PM: 10 mins grace period; First hour $2.30; Subsequent 30 mins $1.50,05:00 PM - 07:59 AM: 10 mins grace period; $2.50 per entry,,,,,
Hotel Re!,175A Chin Swee Road S(169879,169879,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
"The Ritz Carlton, Millenia Singapore","7 Raffles Avenue, S(039799",039799,07:00 AM - 06:00 PM: First hour $3.90; Subsequent 30 mins $1.95,06:00 PM - 11:59 PM: $3.00 per entry,12:00 AM - 06:59 AM: First hour $3.90; Subsequent 30 mins $1.95,02:00 AM - 06:59 AM: First hour $3.90; Subsequent 30 mins $1.95,,,,,07:00 AM - 01:59 AM: First 2 hours $2.80; Subsequent hour $1.40,02:00 AM - 06:59 AM: First hour $3.90; Subsequent 30 mins $1.95,,,,,07:00 AM - 01:59 AM: First 2 hours $2.80; Subsequent hour $1.40,02:00 AM - 06:59 AM: First hour $3.90; Subsequent 30 mins $1.95,,,,,
