carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Entrepreneur Centre,50 Tagore Lane Singapore 787494,787494,12:00 AM - 12:00 AM: $0.70 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.70 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.70 per 30 mins,,,,,,
Farrer Park Hospital,1 Farrer Park Station Road Singapore 217562,217562,07:00 AM - 06:00 PM: 15 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: 15 mins grace period; $4.00 per entry,,,,,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: 15 mins grace period; $4.00 per entry,,,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: 15 mins grace period; $4.00 per entry,,,,,
Farrer Park Medical Centre,1 Farrer Park Station Road Singapore 217562,217562,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 07:00 AM: 15 mins grace period; $3.00 per entry,,,,,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 07:00 AM: 15 mins grace period; $3.00 per entry,,,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 07:00 AM: 15 mins grace period; $3.00 per entry,,,,,
7 & 9 Tampines Grande (Hitachi Square),7 & 9 Tampines Grande Singapore 528736,528736,07:00 AM - 06:00 PM: 10 mins grace period; First hour $2.50; Subsequent 30 mins $1.25,06:00 PM - 07:00 AM: 10 mins grace period; $2.50 per entry,,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $2.50; Subsequent 30 mins $1.25,06:00 PM - 07:00 AM: 10 mins grace period; $2.50 per entry,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $2.50 per entry,,,,,,
Advantech Industrial Building,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Aljunied-Hougang Town Council,147 Serangoon North Avenue 1 Singapore 550147,550147,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 05:00 PM: $0.03 per min,05:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 02:00 PM: $0.03 per min,02:00 PM - 07:00 AM: $0.02 per min,,,,,07:00 AM - 02:00 PM: $0.03 per min,02:00 PM - 07:00 AM: $0.02 per min,,,,,
Anglican Care Centre (Simei),10 Simei Street 3 Singapore 529897,529897,12:00 AM - 12:00 AM: First hour $1.00; Subsequent 30 mins $0.75,,,,,,,,12:00 AM - 12:00 AM: First hour $1.00; Subsequent 30 mins $0.75,,,,,,12:00 AM - 12:00 AM: First hour $1.00; Subsequent 30 mins $0.75,,,,,,
APS Industrial Building,49 Jalan Pemimpin Singapore 577203,577203,08:00 AM - 05:00 PM: 10 mins grace period; Per hour $1.65,05:00 PM - 08:00 AM: $1.80 per entry,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; Per hour $1.65,05:00 PM - 08:00 AM: $1.80 per entry,,,,,08:00 AM - 05:00 PM: 10 mins grace period; Per hour $1.65,05:00 PM - 08:00 AM: $1.80 per entry,,,,,
Ark @ KB,68 Kaki Bukit Avenue 6 Singapore 417896,417896,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $4.00 per entry,,,,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $4.00 per entry,,,,,12:00 AM - 12:00 AM: $4.00 per entry,,,,,,
Aspial One,55 Ubi Avenue 3 Singapore 408864,408864,12:00 AM - 12:00 AM: $1.80 per hour,,,,,,,,12:00 AM - 12:00 AM: $1.80 per hour,,,,,,12:00 AM - 12:00 AM: $1.80 per hour,,,,,,
